,age,duration,campaign,pdays,cons.conf.idx,job,marital,education,default,housing,loan,contact,day_of_week,poutcome,y,month_integer
1975,43,257,3,999,-36.4,4,1,0,0,2,0,1,0,1,0,5
14621,56,368,5,999,-42.7,1,1,0,1,0,0,0,3,1,0,7
35521,52,185,1,999,-46.2,1,1,2,1,2,0,0,1,1,0,5
29420,35,124,1,999,-47.1,9,1,6,0,0,0,0,1,1,0,4
2324,26,295,1,999,-36.4,1,1,2,0,0,0,1,3,1,0,5
18876,35,142,2,999,-36.1,9,0,6,0,2,2,0,1,1,0,8
28849,28,137,1,999,-47.1,9,1,2,0,2,0,0,2,1,0,4
33993,35,234,3,999,-46.2,7,2,3,0,0,0,0,4,1,0,5
24027,43,181,1,999,-40.4,6,1,3,0,2,0,1,4,1,1,10
38770,25,241,1,999,-30.1,0,1,7,0,0,0,0,2,1,1,11
10310,40,1238,2,999,-41.8,1,1,0,1,0,0,1,1,1,0,6
17329,36,230,2,999,-42.7,0,1,6,0,2,2,0,1,1,0,7
21364,43,127,3,999,-36.1,6,1,6,1,2,2,0,1,1,0,8
40371,28,139,1,6,-38.3,8,2,2,0,0,2,0,4,0,1,8
33268,21,68,1,999,-46.2,7,2,3,0,0,0,0,3,0,0,5
1656,35,131,3,999,-36.4,1,1,2,0,0,0,1,0,1,0,5
22768,30,67,8,999,-36.1,0,2,6,0,0,2,0,1,1,0,8
12973,35,157,8,999,-42.7,9,1,5,0,2,0,0,3,1,0,7
1335,37,195,1,999,-36.4,1,1,5,0,0,0,1,2,1,0,5
3600,41,134,3,999,-36.4,1,1,0,1,0,0,1,0,1,0,5
11877,45,61,4,999,-41.8,11,1,7,0,0,0,1,0,1,0,6
31179,47,569,2,999,-46.2,1,1,0,0,2,0,0,4,1,0,5
9196,33,862,11,999,-41.8,1,1,5,0,2,0,1,0,1,1,6
441,26,246,1,999,-36.4,3,1,6,0,0,0,1,3,1,0,5
20203,33,104,2,999,-36.1,9,2,3,0,2,0,0,1,1,0,8
25300,36,267,2,999,-42.0,4,1,6,0,2,0,0,3,1,0,11
25381,53,105,1,999,-42.0,7,0,6,0,2,2,0,3,1,0,11
24205,49,265,1,999,-42.0,0,1,2,0,0,0,0,1,1,0,11
32872,31,475,1,999,-46.2,1,1,2,0,2,0,0,1,0,1,5
26656,33,53,1,999,-42.0,1,1,0,1,0,0,0,2,1,0,11
5069,26,203,1,999,-36.4,1,2,3,0,0,0,1,0,1,0,5
17553,48,207,7,999,-42.7,11,1,7,1,2,0,0,1,1,0,7
36496,29,37,1,999,-40.8,0,1,3,0,2,0,0,4,0,0,6
21957,53,184,3,999,-36.1,0,1,6,0,0,0,0,4,1,0,8
5317,49,178,1,999,-36.4,7,1,3,1,2,2,1,0,1,0,5
1136,31,17,2,999,-36.4,7,2,3,0,2,0,1,4,1,0,5
14019,42,221,2,999,-42.7,9,0,6,0,0,0,0,0,1,0,7
35293,34,128,3,999,-46.2,1,1,5,0,2,2,0,0,1,0,5
5602,30,140,2,999,-36.4,0,2,6,0,2,0,1,1,1,0,5
29504,46,188,1,999,-47.1,1,1,2,1,2,0,0,1,1,0,4
3909,36,501,3,999,-36.4,3,1,0,1,0,0,1,1,1,0,5
4872,32,857,1,999,-36.4,9,2,6,1,0,0,1,4,1,1,5
29163,35,107,1,999,-47.1,7,0,3,0,2,2,0,0,1,0,4
31020,42,111,1,999,-46.2,0,1,3,0,2,0,0,3,1,0,5
2579,58,210,3,999,-36.4,0,1,1,0,2,0,1,3,1,0,5
1773,39,150,2,999,-36.4,0,1,2,0,2,0,1,0,1,0,5
17774,43,24,1,999,-42.7,0,1,6,0,2,0,0,3,1,0,7
36821,34,88,2,999,-40.8,1,1,0,0,2,0,0,1,1,0,6
20241,31,55,3,999,-36.1,10,2,6,0,2,0,0,1,1,0,8
26434,31,244,2,999,-42.0,0,2,6,0,0,0,0,2,1,0,11
34795,36,125,5,999,-46.2,1,1,1,0,2,0,0,2,1,0,5
19947,32,79,3,999,-36.1,0,1,6,0,2,0,0,0,1,0,8
36402,33,73,1,999,-40.8,4,2,6,0,1,1,0,3,1,0,6
30998,57,674,2,999,-46.2,1,1,0,0,0,0,0,3,0,0,5
15403,28,278,2,999,-42.7,7,0,3,1,0,2,0,0,1,1,7
3394,24,486,2,999,-36.4,7,2,3,0,0,0,1,2,1,0,5
8724,52,122,1,999,-41.8,9,1,3,1,2,0,1,4,1,0,6
6494,35,44,1,999,-36.4,1,0,0,1,0,0,1,4,1,0,5
22740,48,110,2,999,-36.1,0,2,6,0,2,0,0,1,1,0,8
8780,45,222,1,999,-41.8,1,1,1,1,2,0,1,2,1,0,6
31523,57,55,5,999,-46.2,0,1,3,1,2,0,0,2,1,0,5
15512,20,1503,11,999,-42.7,8,2,6,0,2,0,0,0,1,0,7
23104,37,312,1,999,-36.1,9,0,5,0,0,0,0,3,1,0,8
22940,36,73,2,999,-36.1,3,1,0,0,0,0,0,1,1,0,8
26951,54,761,3,999,-42.0,2,0,6,0,2,2,1,2,1,0,11
9971,57,162,3,999,-41.8,6,1,0,0,0,0,1,4,1,0,6
11802,53,13,5,999,-41.8,1,1,2,0,2,0,1,0,1,0,6
17201,58,605,1,999,-42.7,5,1,5,0,2,2,0,0,1,0,7
388,28,1201,1,999,-36.4,11,2,7,1,2,2,1,3,1,1,5
25429,30,308,5,999,-42.0,1,1,2,0,0,0,0,4,1,0,11
37484,36,138,2,999,-31.4,0,1,6,0,0,0,0,2,0,0,8
4486,41,148,2,999,-36.4,9,1,5,0,0,0,1,3,1,0,5
37206,76,550,1,999,-31.4,5,1,0,0,2,0,0,2,1,1,8
18208,30,233,3,999,-42.7,0,2,3,0,0,2,0,4,1,0,7
9124,56,84,2,999,-41.8,1,1,0,1,0,0,1,0,1,0,6
36892,32,112,4,999,-40.8,9,1,3,0,0,2,0,0,0,0,6
14132,33,611,2,999,-42.7,2,1,6,0,0,0,0,1,1,0,7
13101,45,95,1,999,-42.7,9,1,5,0,2,0,0,4,1,0,7
17499,59,630,3,999,-42.7,0,0,3,1,0,2,0,1,1,1,7
14974,49,128,3,999,-42.7,1,0,1,1,2,0,0,2,1,0,7
27176,44,235,2,999,-42.0,0,1,6,0,2,0,0,0,1,0,11
11786,59,13,7,999,-41.8,7,1,3,1,2,0,1,0,1,0,6
13143,33,133,2,999,-42.7,7,1,2,1,2,0,0,4,1,0,7
14695,34,838,3,999,-42.7,4,1,3,0,2,0,0,3,1,1,7
13039,45,379,3,999,-42.7,2,1,6,1,2,2,1,3,1,0,7
31983,36,156,2,999,-46.2,1,1,7,0,0,0,0,2,1,0,5
33159,27,300,1,999,-46.2,1,2,0,0,0,0,0,3,0,0,5
7535,54,296,1,999,-36.4,0,1,0,1,1,1,1,0,1,0,5
4852,40,288,1,999,-36.4,9,1,5,1,0,0,1,4,1,0,5
8583,36,357,4,999,-41.8,1,1,0,0,0,0,1,4,1,0,6
33406,39,357,1,999,-46.2,1,2,1,0,2,0,0,3,0,0,5
5415,46,1392,2,999,-36.4,1,1,0,0,2,0,1,0,1,1,5
25081,37,378,1,999,-42.0,5,0,2,1,0,0,0,3,1,0,11
10668,37,115,2,999,-41.8,9,1,3,1,2,0,1,3,1,0,6
12219,40,343,2,999,-42.7,0,0,5,1,0,0,1,2,1,0,7
5750,35,355,2,999,-36.4,0,2,3,0,2,0,1,1,1,0,5
6985,33,73,1,999,-36.4,7,1,6,0,1,1,1,2,1,0,5
16906,55,539,1,999,-42.7,7,0,3,0,0,0,0,2,1,0,7
3891,37,1110,3,999,-36.4,9,1,2,0,0,0,1,0,1,0,5
13856,24,230,1,999,-42.7,8,2,0,0,1,1,0,0,1,0,7
9530,40,49,1,999,-41.8,7,1,1,1,0,0,1,1,1,0,6
3184,49,435,1,999,-36.4,9,1,3,0,2,0,1,2,1,0,5
36693,48,522,3,999,-40.8,0,1,6,0,2,0,1,0,1,1,6
16413,30,237,1,999,-42.7,7,2,3,0,0,2,0,4,1,0,7
22448,34,305,1,999,-36.1,0,1,6,1,0,0,0,0,1,0,8
31336,37,305,1,999,-46.2,0,1,6,0,0,0,0,4,1,0,5
10144,49,577,2,999,-41.8,1,1,0,0,0,0,1,2,1,1,6
9180,42,24,1,999,-41.8,7,1,5,0,0,0,1,0,1,0,6
24261,31,68,2,999,-42.0,7,2,3,1,0,0,0,1,0,0,11
29424,30,37,1,999,-47.1,8,2,6,0,2,2,1,1,1,0,4
3319,39,43,9,999,-36.4,2,2,6,0,2,0,1,2,1,0,5
40736,52,953,2,999,-37.5,0,1,5,0,0,0,0,4,1,1,9
29601,34,617,1,999,-47.1,9,1,2,0,0,0,0,1,1,0,4
29535,57,322,2,999,-47.1,4,0,6,1,0,0,0,1,1,0,4
6988,43,199,1,999,-36.4,2,1,0,0,2,0,1,2,1,0,5
36616,28,296,2,999,-40.8,0,2,3,0,2,2,0,2,1,1,6
21937,37,97,2,999,-36.1,9,1,5,0,2,0,0,4,1,0,8
2370,39,311,1,999,-36.4,6,2,6,0,0,0,1,3,1,0,5
28924,55,198,1,999,-47.1,0,1,0,0,0,0,0,0,1,0,4
10231,32,171,2,999,-41.8,9,1,5,0,0,0,1,1,1,0,6
40525,29,6,1,999,-38.3,7,2,6,0,2,0,1,0,1,0,8
37451,28,227,1,999,-31.4,6,2,6,0,1,1,0,4,1,0,8
28785,41,290,2,999,-47.1,7,2,6,0,0,0,0,2,1,0,4
34144,28,649,2,999,-46.2,7,2,3,0,0,0,0,4,1,1,5
14882,25,158,1,999,-42.7,7,0,3,0,2,0,0,4,1,0,7
10566,50,255,1,999,-41.8,4,2,6,0,0,0,1,3,1,0,6
6100,37,253,16,999,-36.4,9,1,5,0,0,0,1,3,1,0,5
10398,42,88,1,999,-41.8,1,1,2,0,2,0,1,1,1,0,6
11651,39,524,4,999,-41.8,7,0,2,0,2,0,1,0,1,0,6
4588,22,777,3,999,-36.4,1,1,0,0,1,1,1,3,1,0,5
889,30,25,1,999,-36.4,0,2,6,0,0,0,1,4,1,0,5
9899,33,553,1,999,-41.8,0,2,6,0,2,2,1,4,1,0,6
2196,31,212,2,999,-36.4,1,1,1,0,2,0,1,1,1,0,5
4570,50,418,2,999,-36.4,9,1,1,0,2,0,1,3,1,0,5
29498,73,158,1,6,-47.1,5,1,0,0,2,0,0,1,2,0,4
32201,33,833,1,999,-46.2,1,2,1,0,1,1,1,0,1,1,5
5991,34,156,2,999,-36.4,1,2,2,0,0,0,1,3,1,0,5
6883,34,136,2,999,-36.4,1,1,1,0,0,0,1,4,1,0,5
24947,44,638,2,999,-42.0,4,1,2,0,0,0,0,3,1,0,11
6793,42,77,3,999,-36.4,9,1,5,0,2,0,1,4,1,0,5
3737,31,199,4,999,-36.4,0,1,2,1,2,0,1,0,1,0,5
28378,32,394,1,999,-47.1,6,2,6,0,0,0,0,2,1,1,4
23242,46,515,9,999,-36.1,0,1,6,1,0,0,0,3,1,0,8
2437,57,768,1,999,-36.4,5,1,6,0,2,0,1,3,1,0,5
33247,28,153,1,999,-46.2,9,1,2,0,2,0,0,3,1,0,5
8695,56,341,2,999,-41.8,0,2,2,0,2,0,1,4,1,0,6
19933,30,153,5,999,-36.1,9,2,5,0,0,0,0,0,1,0,8
984,34,164,1,999,-36.4,1,1,1,0,2,0,1,4,1,0,5
25367,50,40,1,999,-42.0,0,1,6,0,0,0,1,3,1,0,11
4944,56,87,14,999,-36.4,9,1,3,0,2,0,1,4,1,0,5
15049,29,686,1,999,-42.7,0,2,6,0,0,0,0,2,1,0,7
20941,32,457,1,999,-36.1,0,2,6,0,2,0,0,2,1,0,8
38504,63,259,1,999,-26.9,9,1,5,0,0,0,0,3,1,0,10
18342,28,13,10,999,-42.7,0,2,6,0,2,0,0,2,1,0,7
7011,45,56,2,999,-36.4,11,1,7,1,2,0,1,2,1,0,5
3370,31,132,22,999,-36.4,0,2,3,0,0,0,1,2,1,0,5
38806,29,122,1,3,-30.1,0,2,6,0,0,0,0,0,2,1,11
14224,35,673,8,999,-42.7,0,2,6,0,2,0,0,1,1,0,7
33403,28,387,3,999,-46.2,1,2,1,1,2,0,0,3,1,0,5
11027,43,48,10,999,-41.8,4,1,3,0,0,0,1,4,1,0,6
36345,46,62,1,999,-40.8,10,1,2,0,2,0,0,3,1,0,6
4049,29,1203,3,999,-36.4,3,2,3,0,0,0,1,1,1,0,5
10576,45,254,1,999,-41.8,1,2,0,1,0,0,1,3,1,0,6
3851,37,851,2,999,-36.4,0,1,3,0,0,2,1,0,1,0,5
12298,55,49,1,999,-42.7,9,1,6,0,2,0,1,0,1,0,7
37387,66,340,2,999,-31.4,5,3,2,0,2,0,0,4,1,0,8
7282,54,253,3,999,-36.4,1,2,0,0,0,0,1,2,1,0,5
3453,50,697,3,999,-36.4,1,1,2,0,2,0,1,2,1,1,5
36477,59,68,1,999,-40.8,5,1,5,0,2,0,0,4,1,0,6
32403,34,175,2,999,-46.2,4,2,6,0,2,0,0,0,1,0,5
36262,39,165,1,999,-40.8,0,1,6,0,0,0,0,1,1,0,6
7402,34,69,1,999,-36.4,7,1,3,0,2,0,1,0,1,0,5
3620,26,277,5,999,-36.4,8,2,7,1,0,0,1,0,1,0,5
28742,42,76,3,999,-47.1,2,1,2,0,2,0,0,2,1,0,4
23630,58,17,11,999,-36.1,5,1,6,1,0,0,0,2,1,0,8
40973,68,567,1,3,-49.5,5,0,3,0,2,2,0,1,2,1,10
32325,37,82,2,999,-46.2,6,2,2,0,2,0,0,0,0,0,5
30503,39,378,3,999,-46.2,1,1,2,0,0,0,0,1,1,0,5
3291,33,98,2,999,-36.4,1,1,0,1,0,0,1,2,1,0,5
12289,36,124,2,999,-42.7,4,1,1,1,2,0,1,0,1,0,7
19215,32,153,1,999,-36.1,9,1,5,0,0,0,0,4,1,0,8
23773,29,15,9,999,-36.1,0,2,6,0,0,0,0,2,1,0,8
24226,39,63,1,999,-42.0,10,1,2,0,2,0,0,1,1,0,11
24797,44,365,1,999,-42.0,4,0,6,1,0,0,0,3,1,0,11
6247,27,324,3,999,-36.4,9,2,5,0,2,0,1,3,1,0,5
14858,55,705,1,999,-42.7,3,1,6,0,2,0,0,4,1,0,7
40412,60,270,4,6,-38.3,3,1,0,0,0,0,0,0,0,0,8
8803,30,189,1,999,-41.8,9,1,6,1,0,0,1,2,1,0,6
22368,41,36,1,999,-36.1,3,1,6,0,2,0,0,2,1,0,8
19782,47,106,1,999,-36.1,0,1,3,0,2,0,0,0,1,0,8
30985,41,124,2,999,-46.2,1,1,0,1,1,1,0,3,1,0,5
13896,37,216,2,999,-42.7,1,1,2,1,2,0,0,0,1,0,7
6161,44,88,1,999,-36.4,11,2,2,1,2,0,1,3,1,0,5
24521,35,128,2,999,-42.0,6,2,5,0,2,0,0,1,1,0,11
26777,31,230,1,999,-42.0,0,2,6,0,2,0,0,2,1,0,11
24518,38,136,2,999,-42.0,4,0,6,0,0,0,0,1,0,0,11
909,38,181,1,999,-36.4,1,1,7,1,0,2,1,4,1,0,5
35682,43,465,2,999,-46.2,1,1,0,0,0,0,0,1,1,0,5
32027,25,239,3,999,-46.2,7,2,3,0,2,0,0,2,1,0,5
24234,30,135,1,999,-42.0,7,1,6,0,2,0,0,1,1,0,11
21390,35,58,1,999,-36.1,0,2,6,0,0,0,0,3,1,0,8
10787,32,269,3,999,-41.8,9,0,5,0,2,0,1,3,1,0,6
20867,23,87,1,999,-36.1,2,1,6,0,2,0,0,2,1,0,8
38933,55,87,1,999,-30.1,2,1,6,0,2,0,0,4,1,0,11
23526,52,82,6,999,-36.1,0,1,2,0,2,0,0,2,1,0,8
125,42,262,2,999,-36.4,0,1,6,0,0,2,1,1,1,0,5
26083,35,178,2,999,-42.0,1,1,2,0,2,0,1,4,1,0,11
29638,28,187,1,999,-47.1,6,2,6,0,2,0,0,1,1,0,4
40008,26,301,5,999,-39.8,0,1,3,0,0,0,0,4,1,1,6
29972,56,110,2,999,-47.1,6,1,6,0,0,0,0,3,1,1,4
35409,50,623,8,999,-46.2,0,2,3,0,0,2,0,0,1,1,5
3510,35,98,2,999,-36.4,1,1,0,0,0,0,1,2,1,0,5
5458,40,283,11,999,-36.4,1,1,0,0,0,0,1,0,1,0,5
4521,35,127,8,999,-36.4,0,1,6,0,0,0,1,3,1,0,5
4391,41,129,2,999,-36.4,4,1,3,0,0,2,1,3,1,0,5
26477,31,232,1,999,-42.0,9,1,3,0,2,2,0,2,1,0,11
9167,52,188,1,999,-41.8,9,1,2,0,0,0,1,0,1,0,6
18311,58,134,23,999,-42.7,5,1,0,0,2,0,0,4,1,0,7
11307,45,237,2,999,-41.8,4,2,2,0,2,0,1,2,1,0,6
33115,31,104,3,999,-46.2,1,1,1,0,0,0,0,3,0,0,5
37853,55,622,1,999,-31.4,2,0,2,0,2,0,0,0,1,1,8
15753,34,320,1,999,-42.7,1,1,1,0,2,0,0,1,1,0,7
36583,53,328,2,3,-40.8,1,1,1,0,2,0,0,2,2,1,6
16602,29,259,1,999,-42.7,9,2,6,0,0,0,0,4,1,0,7
38427,35,360,5,999,-26.9,10,1,6,0,0,0,0,2,1,1,10
39872,31,250,4,3,-39.8,9,1,5,0,2,0,0,3,2,0,6
13534,40,41,1,999,-42.7,1,0,2,1,2,0,0,2,1,0,7
33038,25,304,3,12,-46.2,9,2,6,0,0,2,0,1,0,0,5
32366,22,87,2,999,-46.2,8,2,3,0,0,0,0,0,1,0,5
40283,51,115,3,999,-40.3,5,0,3,0,0,0,0,4,1,1,7
13887,28,106,2,999,-42.7,0,2,6,0,2,0,0,0,1,0,7
10239,41,686,11,999,-41.8,0,0,3,0,0,0,1,1,1,1,6
36664,27,136,1,999,-40.8,0,2,6,0,2,0,0,0,1,0,6
5575,42,364,1,999,-36.4,3,1,0,0,2,0,1,1,1,0,5
34860,29,667,3,999,-46.2,1,0,0,0,0,0,0,0,1,1,5
4945,28,292,2,999,-36.4,0,2,3,0,2,0,1,4,1,0,5
18772,36,9,13,999,-42.7,0,2,6,0,0,0,1,2,1,0,7
4914,37,394,2,999,-36.4,6,1,3,0,0,2,1,4,1,0,5
37325,45,249,3,999,-31.4,7,1,3,0,0,0,0,3,1,0,8
39534,29,370,1,999,-34.6,7,2,3,0,0,0,1,3,1,1,4
5668,47,162,2,999,-36.4,1,1,0,1,2,0,1,1,1,0,5
11294,37,11,7,999,-41.8,1,1,5,0,0,0,1,2,1,0,6
4222,49,82,9,999,-36.4,9,1,5,1,2,0,1,3,1,0,5
14570,34,116,5,999,-42.7,9,0,5,0,0,0,0,3,1,0,7
13691,32,73,1,999,-42.7,11,2,5,0,2,0,1,2,1,0,7
11869,25,11,7,999,-41.8,1,1,2,1,0,0,1,0,1,0,6
35138,34,16,7,999,-46.2,0,1,6,0,0,0,0,0,1,0,5
25168,50,319,2,999,-42.0,9,1,5,0,1,1,0,3,0,0,11
35022,23,102,7,999,-46.2,1,2,0,0,2,2,0,0,1,0,5
37638,29,33,2,999,-31.4,10,2,6,0,2,0,0,3,1,0,8
2625,33,326,4,999,-36.4,7,0,3,0,0,0,1,3,1,0,5
5057,38,110,3,999,-36.4,1,1,1,0,2,0,1,0,1,0,5
15985,51,166,2,999,-42.7,9,1,1,0,2,0,0,3,1,0,7
6076,41,293,2,999,-36.4,0,0,3,0,0,0,1,3,1,0,5
20442,51,207,1,999,-36.1,0,0,5,0,0,2,0,3,1,0,8
13663,30,446,1,999,-42.7,1,2,2,0,2,2,0,2,1,0,7
5299,27,144,2,999,-36.4,7,2,3,0,0,0,1,0,1,0,5
30779,37,696,1,999,-46.2,1,1,7,0,2,0,0,3,0,0,5
18497,48,77,1,999,-42.7,9,1,5,0,0,0,1,2,1,0,7
22183,56,141,1,999,-36.1,6,1,2,0,1,1,0,2,1,0,8
7146,55,166,3,999,-36.4,9,1,5,0,2,0,1,2,1,0,5
737,49,157,2,999,-36.4,0,1,3,0,0,0,1,3,1,0,5
28452,42,251,1,999,-47.1,0,2,5,0,2,0,0,3,1,0,4
29332,46,65,3,999,-47.1,2,1,5,0,2,2,0,0,1,0,4
1836,60,409,3,999,-36.4,4,1,6,1,0,0,1,0,1,0,5
1256,43,1120,2,999,-36.4,9,2,6,0,2,0,1,2,1,1,5
24692,53,93,1,999,-42.0,2,0,6,0,0,0,0,1,1,0,11
35830,44,135,1,999,-46.2,9,1,5,0,2,0,0,0,1,0,5
35583,57,86,4,999,-46.2,9,0,1,0,2,0,0,1,1,0,5
25606,40,76,6,999,-42.0,7,1,2,0,0,0,0,4,1,0,11
25239,39,1437,2,999,-42.0,9,1,6,0,0,2,0,3,1,1,11
9847,36,105,4,999,-41.8,1,1,1,0,0,0,1,4,1,0,6
25537,38,110,1,999,-42.0,9,0,3,0,2,0,0,4,0,0,11
35679,25,432,3,999,-46.2,8,2,3,0,2,0,0,1,1,0,5
32864,25,261,1,999,-46.2,0,1,3,0,0,0,0,1,0,0,5
15190,49,626,3,999,-42.7,1,2,1,1,2,0,0,2,1,1,7
28265,43,519,1,999,-47.1,9,2,5,1,2,0,0,4,1,0,4
16329,35,119,2,999,-42.7,7,0,6,0,2,0,1,3,1,0,7
10038,32,423,2,999,-41.8,0,1,3,0,2,0,1,2,1,0,6
24148,42,252,1,999,-42.0,7,1,3,0,2,0,0,1,1,0,11
2775,33,858,1,999,-36.4,1,1,3,0,0,0,1,4,1,1,5
34778,25,173,6,999,-46.2,0,2,3,0,2,0,0,2,0,0,5
21251,33,128,1,999,-36.1,4,1,6,0,2,2,0,1,1,0,8
28581,26,171,1,999,-47.1,0,2,3,0,0,0,0,4,1,1,4
3070,53,104,3,999,-36.4,5,0,5,1,2,2,1,4,1,0,5
25154,32,265,1,999,-42.0,7,1,5,0,2,2,0,3,1,0,11
31761,33,332,4,999,-46.2,0,2,6,0,2,0,0,2,0,0,5
36148,38,123,2,999,-46.2,4,2,6,0,0,0,0,4,1,0,5
31067,38,275,1,999,-46.2,0,1,3,0,0,0,0,4,1,0,5
329,36,669,3,999,-36.4,0,1,3,0,0,0,1,1,1,0,5
24085,29,150,1,999,-42.0,9,1,6,0,2,0,0,2,1,1,11
6906,42,42,7,999,-36.4,0,2,2,1,0,0,1,2,1,0,5
36223,27,68,1,999,-46.2,9,2,6,0,0,0,0,2,1,0,5
39622,42,116,3,999,-40.0,5,2,0,1,2,2,0,0,1,0,5
12972,35,584,2,999,-42.7,1,1,5,0,0,0,0,3,1,0,7
5941,30,129,1,999,-36.4,7,1,3,0,2,0,1,3,1,0,5
25707,44,132,1,999,-42.0,0,2,6,0,2,0,0,4,1,0,11
6442,33,130,2,999,-36.4,9,2,6,0,0,2,1,4,1,0,5
24656,52,127,4,999,-42.0,4,1,6,0,0,0,1,1,0,0,11
19460,32,74,1,999,-36.1,9,1,6,0,2,0,0,2,1,0,8
37115,58,292,6,999,-33.6,4,1,6,0,0,0,0,4,0,0,7
22186,31,376,1,999,-36.1,0,0,6,0,0,2,0,2,1,0,8
8154,46,179,1,999,-41.8,10,1,1,1,2,0,1,3,1,0,6
12653,36,333,5,999,-42.7,1,1,5,0,2,0,0,1,1,0,7
21638,45,194,2,999,-36.1,1,1,7,0,0,0,0,3,1,0,8
36504,59,340,1,999,-40.8,1,1,0,1,0,0,0,4,0,1,6
9040,37,221,3,999,-41.8,9,1,5,0,0,0,1,2,1,0,6
10865,35,1528,2,999,-41.8,9,1,5,0,0,0,1,4,1,1,6
3093,38,243,1,999,-36.4,4,1,1,1,2,0,1,2,1,0,5
2065,32,202,1,999,-36.4,1,1,5,0,0,0,1,1,1,0,5
14561,23,125,1,999,-42.7,8,2,3,1,1,1,0,3,1,0,7
12623,28,247,1,999,-42.7,9,0,6,0,2,0,0,1,1,0,7
31591,32,84,1,999,-46.2,0,1,3,0,0,0,0,2,1,0,5
7966,49,498,1,999,-41.8,11,1,7,1,2,0,1,1,1,0,6
1176,50,489,1,999,-36.4,3,0,0,1,0,0,1,2,1,0,5
27976,43,743,1,999,-47.1,6,1,3,1,0,0,0,4,1,0,4
35829,40,317,1,999,-46.2,9,2,5,0,2,0,0,0,0,1,5
29612,35,201,3,999,-47.1,7,1,2,1,2,0,0,1,1,0,4
1827,29,174,1,999,-36.4,4,2,6,0,2,0,1,0,1,0,5
10731,38,311,2,999,-41.8,0,1,6,0,0,0,1,3,1,0,6
21256,41,80,3,999,-36.1,9,1,5,0,2,2,0,1,1,0,8
21128,30,105,3,999,-36.1,3,1,5,0,2,0,0,1,1,0,8
20868,41,266,1,999,-36.1,0,1,6,0,2,0,0,2,1,0,8
9090,50,144,15,999,-41.8,1,1,0,1,2,2,1,0,1,0,6
10596,31,91,2,999,-41.8,9,2,6,0,0,0,1,3,1,0,6
